Probe_Set_ID;Transcript_ID;Gene_Title;Gene_Symbol;SOM_cluster;Expression_pattern;Develoment_relation
243681_at;Hs.19569.0;SH3 and multiple ankyrin repeat domains 2;SHANK2;c0;;
243586_at;Hs.117545.0;Transcribed locus;---;c0;;
243512_x_at;Hs.107070.0;---;---;c0;;
243446_at;Hs.132418.0;Jub, ajuba homolog (Xenopus laevis);JUB;c0;;
243404_at;Hs.152428.0;---;---;c0;;
243319_at;Hs.43566.0;Mediator of RNA polymerase II transcription, ;MED31;c0;;
;;subunit 31 homolog (S. cerevisiae);;;;
243283_at;Hs.150757.0;Transcribed locus;---;c0;;
243277_x_at;Hs.177224.0;Ecotropic viral integration site 1;EVI1;c0;;D
243221_at;Hs.115930.0;Transcribed locus;---;c0;;
242932_at;Hs.163481.0;Transcribed locus;---;c0;;
242906_at;Hs.196734.0;"MRNA; cDNA DKFZp313B1017 (from clone ";---;c0;;
;;DKFZp313B1017);;;;
242861_at;Hs.254921.0;---;---;c0;;
242854_x_at;Hs.256024.0;deleted in lymphocytic leukemia, 2;DLEU2;c0;;
242776_at;Hs.254710.0;zinc finger, CCHC domain containing 6;ZCCHC6;c0;;
242685_at;Hs.283641.0;GTP-binding protein 8 (putative);GTPBP8;c0;;
242641_at;Hs.263560.1;Full length insert cDNA clone ZD20F08;---;c0;;
242630_at;Hs.222882.0;---;---;c0;;
242606_at;Hs.267115.0;Breast cancer antigen 32004 mRNA, partial sequence;---;c0;;
242486_at;Hs.216501.0;Transcribed locus;---;c0;;
242444_at;Hs.269204.0;C1q and tumor necrosis factor related protein 6;C1QTNF6;c0;;
242433_at;Hs.190020.0;Zinc finger and BTB domain containing 11;ZBTB11;c0;;
242305_at;Hs.189869.0;Similar to septin 7;LOC645513;c0;;
242212_at;Hs.252698.0;---;---;c0;;
242170_at;Hs.104572.0;Transcribed locus;---;c0;;
242124_at;Hs.181085.0;Transcribed locus;---;c0;;
242042_s_at;Hs.119187.1;hypothetical LOC401022;LOC401022;c0;;
241981_at;Hs.166593.0;family with sequence similarity 20, member A;FAM20A;c0;;
241945_at;Hs.121374.0;---;---;c0;;
241913_at;Hs.8346.0;---;---;c0;;
241902_at;Hs.26640.0;mohawk homeobox;MKX;c0;;D
241850_at;Hs.129898.0;---;---;c0;;
241807_x_at;Hs.12698.0;Transcribed locus;---;c0;;
241783_at;Hs.105902.0;Transcribed locus;---;c0;;
241719_at;Hs.131593.0;---;---;c0;;
241696_at;Hs.210505.0;Chromosome 9 open reading frame 39;C9orf39;c0;;
241646_s_at;Hs.202546.1;hypothetical protein LOC641748 /// ;LOC641748 /// ;c0;;
;;hypothetical LOC646579;LOC646579;;;
241546_at;Hs.131823.0;spermatogenesis associated 5;SPATA5;c0;;
241495_at;Hs.199917.0;Cyclin L1;CCNL1;c0;;
241408_at;Hs.257634.0;cysteine-rich PAK1 inhibitor;CRIPAK;c0;;
241356_at;Hs.134876.0;Transcribed locus;---;c0;;
241240_at;Hs.179586.0;Transcribed locus;---;c0;;
241202_at;Hs.122090.0;---;---;c0;;
240847_at;Hs.26085.0;---;---;c0;;
240727_s_at;Hs.122544.1;Transcribed locus;---;c0;;
240713_s_at;Hs.148433.0;CDNA FLJ33739 fis, clone BRAWH2018601;---;c0;;
240703_s_at;Hs.133411.0;hect (homologous to the E6-AP (UBE3A) carboxyl  ;HERC1;c0;;
;;terminus) domain and RCC1 (CHC1)-like domain ;;;;
;;(RLD) 1;;;;
240574_at;Hs.149474.0;CDNA clone IMAGE:5262677;---;c0;;
240568_at;Hs.253567.0;---;---;c0;;
240433_x_at;Hs.164578.0;CDNA clone IMAGE:4811412;---;c0;;
240288_at;Hs.246191.0;potassium channel regulator;KCNRG;c0;;
240185_at;Hs.61948.0;CDNA clone IMAGE:3952569;---;c0;;
240179_at;Hs.98385.0;---;---;c0;;
240158_at;Hs.156090.0;---;---;c0;;
240153_at;Hs.129907.0;Transcribed locus;---;c0;;
240088_at;Hs.116533.0;---;---;c0;;
240062_at;Hs.153027.0;family with sequence similarity 3, member C;FAM3C;c0;;
240026_x_at;Hs.13333.0;Transcribed locus;---;c0;;
240016_at;Hs.128181.0;Transcribed locus;---;c0;;
239936_at;Hs.192062.0;deleted in lymphocytic leukemia, 2;DLEU2;c0;;
239910_at;Hs.310638.0;pregnancy specific beta-1-glycoprotein 6;PSG6;c0;;
239900_x_at;Hs.270696.0;---;---;c0;;
239765_at;Hs.146249.0;Transcribed locus, strongly similar to XP_507918.1  ;---;c0;;
;;BTAF1 RNA polymerase II, B-TFIID transcription;;;;
;;factor-associated, 170kDa [Pan troglodytes];;;;
239734_at;Hs.209978.0;Transcribed locus;---;c0;;
239715_at;Hs.116453.0;Transcribed locus;---;c0;;
239674_at;Hs.14715.0;---;---;c0;;
239567_at;Hs.222430.0;Transcribed locus;---;c0;;
239551_at;Hs.188069.0;Transcribed locus;---;c0;;
239496_at;Hs.191603.0;---;---;c0;;
239483_at;Hs.144911.0;FLJ37035 protein;FLJ37035;c0;;
239478_x_at;Hs.169812.0;Full-length cDNA clone CS0CAP006YP08 of Thymus ;---;c0;;
;;of Homo sapiens (human);;;;
239471_at;Hs.256157.0;leucine rich repeat containing 28;LRRC28;c0;;
239288_at;Hs.153451.0;TRAF2 and NCK interacting kinase;TNIK;c0;;
239267_at;Hs.113011.0;NIMA (never in mitosis gene a)-related kinase 6;NEK6;c0;;D
239245_at;Hs.98079.0;Transcribed locus;---;c0;;
239170_at;Hs.195789.0;Transcribed locus;---;c0;;
239123_at;Hs.78960.0;Colorectal cancer-related mRNA sequence;---;c0;;
238977_at;Hs.162434.0;minichromosome maintenance complex component 6;MCM6;c0;;
238933_at;Hs.59896.0;---;---;c0;;
238790_at;Hs.156100.0;CLR pseudogene;LOC374443;c0;;
238779_at;Hs.89034.0;DCP2 decapping enzyme homolog (S. cerevisiae);DCP2;c0;;
238664_s_at;Hs.102943.0;hypothetical protein MGC12916;MGC12916;c0;;
238616_at;Hs.134605.0;Quinoid dihydropteridine reductase;QDPR;c0;;
238578_at;Hs.293204.0;transmembrane protein 182;TMEM182;c0;;
238568_s_at;Hs.148910.0;Transcribed locus;---;c0;;
238501_at;Hs.121655.0;Transcribed locus;---;c0;;
238481_at;Hs.313944.0;matrix Gla protein;MGP;c0;;D
238451_at;Hs.297946.0;membrane protein, palmitoylated 7 (MAGUK p55 ;MPP7;c0;;
;;subfamily member 7);;;;
238426_at;Hs.270753.0;transmembrane protein 130;TMEM130;c0;;
238370_x_at;Hs.145508.0;"MRNA; cDNA DKFZp686L18111 (from clone ";---;c0;;
;;DKFZp686L18111);;;;
238304_at;Hs.21868.0;Transcribed locus;---;c0;;
238270_x_at;Hs.273742.0;---;---;c0;;
238228_at;Hs.105414.0;---;---;c0;;
238204_at;Hs.152992.0;---;---;c0;;
238063_at;Hs.120219.0;transmembrane protein 154;TMEM154;c0;;
238055_at;Hs.100501.0;Homo sapiens, clone IMAGE:4698842, mRNA;---;c0;;
237933_at;Hs.170561.0;---;---;c0;;
237825_x_at;Hs.226429.0;---;---;c0;;
237747_at;Hs.124601.0;---;---;c0;;
237725_x_at;Hs.271719.0;structural maintenance of chromosomes 5;SMC5;c0;;
237702_at;Hs.170415.0;Developmentally regulated RNA-binding protein 1;DRB1;c0;;D
237663_at;Hs.196180.0;Transcribed locus;---;c0;;
237485_at;Hs.19008.0;Transcribed locus;---;c0;;
237393_at;Hs.245633.0;Similar to trophoblast glycoprotein;LOC441617;c0;;
237390_at;Hs.47191.0;Transcribed locus;---;c0;;
237383_at;Hs.29178.0;Transcribed locus;---;c0;;
237346_at;Hs.128804.0;TDP-glucose 4,6-dehydratase;TGDS;c0;;
237314_at;Hs.232407.0;chromosome 10 open reading frame 63;C10orf63;c0;;
237250_at;Hs.48372.0;Full length insert cDNA clone YZ87G11;---;c0;;
237174_at;Hs.270949.0;Transcribed locus;---;c0;;
237121_at;Hs.61993.0;Transcribed locus;---;c0;;
237105_at;Hs.130595.0;CDNA FLJ46701 fis, clone TRACH3014063;---;c0;;
237081_at;Hs.163644.0;Transcribed locus;---;c0;;
237065_s_at;Hs.129551.0;---;---;c0;;
237051_at;Hs.270674.0;---;---;c0;;
236931_at;Hs.37902.0;---;---;c0;;
236911_at;Hs.164886.0;Family with sequence similarity 80, member B;FAM80B;c0;;
236910_at;Hs.252580.0;Mitochondrial ribosomal protein L39;MRPL39;c0;;
236886_at;Hs.47678.0;Homo sapiens, clone IMAGE:3621928;---;c0;;
236875_at;Hs.176554.0;Transcribed locus;---;c0;;
236718_at;Hs.43334.0;Transcribed locus;---;c0;;
236705_at;Hs.32794.0;hypothetical protein MGC42090;MGC42090;c0;;
236655_at;Hs.123370.0;tumor protein D52;TPD52;c0;;D
236540_at;Hs.48285.0;Transcribed locus;---;c0;;
236532_at;Hs.12826.0;similar to expressed sequence AI593442;LOC399947;c0;;
236525_at;Hs.312777.0;F-box protein 36;FBXO36;c0;;
236508_at;Hs.147546.0;Transcribed locus;---;c0;;
236337_at;Hs.95600.0;145 kDa nucleolar protein;NO145;c0;;
236330_at;Hs.87131.0;CDNA FLJ42688 fis, clone BRAMY3002120;---;c0;;
236288_at;Hs.257861.0;ring finger protein 34;RNF34;c0;;D
236204_at;Hs.34898.0;Transcribed locus;---;c0;;
236122_at;Hs.33790.0;Transcribed locus;---;c0;;
236087_at;Hs.62648.0;actin binding LIM protein family, member 2;ABLIM2;c0;;
235987_at;Hs.12250.0;protein kinase, X-linked, pseudogene 1;PRKXP1;c0;;
235967_at;Hs.292860.0;CDNA FLJ41685 fis, clone HCASM2006338;---;c0;;
235960_at;Hs.244639.0;Full length insert cDNA YI38B04;---;c0;;
235864_at;Hs.199726.0;Membrane protein, palmitoylated 5 (MAGUK p55 ;MPP5;c0;;
;;subfamily member 5);;;;
235851_s_at;Hs.159354.0;GNAS complex locus;GNAS;c0;;
235831_at;Hs.6591.0;Transcribed locus;---;c0;;
235784_at;Hs.143805.0;Transcribed locus;---;c0;;
235777_at;Hs.49690.0;ankyrin repeat domain 44;ANKRD44;c0;;
235745_at;Hs.129166.0;endoplasmic reticulum to nucleus signalling 1;ERN1;c0;;D
235732_at;Hs.21168.0;Transcribed locus;---;c0;;
235678_at;Hs.39972.0;GM2 ganglioside activator;GM2A;c0;;
235653_s_at;Hs.143692.0;THAP domain containing 6;THAP6;c0;;
235633_at;Hs.271165.0;Transcribed locus;---;c0;;
235591_at;Hs.126059.0;somatostatin receptor 1;SSTR1;c0;;
235491_at;Hs.194136.0;Zinc finger and BTB domain containing 10;ZBTB10;c0;;
235479_at;Hs.156469.0;cytoplasmic polyadenylation element binding protein 2;CPEB2;c0;;
235447_at;Hs.321052.0;TruB pseudouridine (psi) synthase homolog 1 (E. coli);TRUB1;c0;;
235299_at;Hs.279870.0;Transcribed locus;---;c0;;
235108_at;Hs.290791.0;CDNA FLJ41679 fis, clone HCASM2003212;---;c0;;
235029_at;Hs.293545.0;GINS complex subunit 4 (Sld5 homolog);GINS4;c0;;
234900_at;Hs.247784.0;similar to 40S ribosomal protein S15 (RIG protein);LOC391137;c0;;
234697_x_at;Hs.307083.0;chromosome 3 open reading frame 31;C3orf31;c0;;
234682_at;Hs.307123.0;BTB (POZ) domain containing 9;BTBD9;c0;;
234581_at;Hs.306725.0;CDNA: FLJ21257 fis, clone COL01407;---;c0;;
234570_at;Hs.306466.0;zinc finger protein 71;ZNF71;c0;;
234532_at;Hs.306318.0;"MRNA; cDNA DKFZp586E1423 (from clone ";---;c0;;
;;DKFZp586E1423);;;;
234480_at;Hs.285786.0;Hypothetical protein DKFZp761C1711;DKFZP761C1711;c0;;
234129_at;Hs.306461.0;Rho guanine nucleotide exchange factor (GEF) 12;ARHGEF12;c0;;
234094_x_at;Hs.296725.0;DnaJ homology subfamily A member 5;DNAJA5;c0;;
233753_at;Hs.125134.2;splicing factor, arginine/serine-rich 15;SFRS15;c0;;
233535_at;Hs.307067.0;ATPase type 13A4;ATP13A4;c0;;
233419_at;Hs.296670.0;CDNA FLJ11851 fis, clone HEMBA1006744;---;c0;;
233405_at;Hs.296735.0;CDNA FLJ13333 fis, clone OVARC1001828;---;c0;;
233297_s_at;Hs.301720.0;spermatogenesis and oogenesis specific basic helix-loop- ;LOC728591 ///  ;c0;;
;;helix 2 /// hypothetical protein LOC728591 ///;LOC731719 ///;;;
;;hypothetical protein LOC731719;SOHLH2;;;
233227_at;Hs.272255.0;KIAA1109;KIAA1109;c0;;
233185_at;Hs.24974.0;CDNA FLJ37783 fis, clone BRHIP2028187;---;c0;;
233131_at;Hs.253576.0;chromosome 10 open reading frame 80;C10orf80;c0;;
233115_at;Hs.302692.0;CDNA FLJ12950 fis, clone NT2RP2005454;---;c0;;
233073_at;Hs.14480.1;CDNA FLJ13557 fis, clone PLACE1007737;---;c0;;
233063_s_at;Hs.188825.0;CDNA FLJ33709 fis, clone BRAWH2007890;---;c0;;
232939_at;Hs.300898.0;CDNA FLJ10742 fis, clone NT2RP3001629;---;c0;;
232704_s_at;Hs.321645.0;leucine rich repeat (in FLII) interacting protein 2;LRRFIP2;c0;;
232679_at;Hs.65500.0;CDNA clone IMAGE:5299000;---;c0;;
232641_at;Hs.249181.0;zinc finger protein 596;ZNF596;c0;;
232497_at;Hs.20082.1;zinc finger protein 3;ZNF3;c0;;D
232405_at;Hs.212643.0;CDNA: FLJ22832 fis, clone KAIA4195;---;c0;;
232047_at;Hs.326413.0;---;---;c0;;
231890_at;Hs.273830.0;CDNA FLJ12742 fis, clone NT2RP2000644;---;c0;;
231861_at;Hs.289071.0;low density lipoprotein receptor-related protein 10;LRP10;c0;;
231778_at;Hs.134194.0;distal-less homeobox 3;DLX3;c0;;D
231697_s_at;Hs.79572.1;Transmembrane protein 49;TMEM49;c0;;
231585_at;Hs.65919.1;Vacuolar protein sorting 13 homolog A (S. cerevisiae);VPS13A;c0;;
231399_at;Hs.140457.0;RAB3A interacting protein (rabin3);RAB3IP;c0;;
231391_at;Hs.66194.0;cortexin 3;CTXN3;c0;;
231380_at;Hs.12902.0;chromosome 8 open reading frame 34;C8orf34;c0;;
231341_at;Hs.129192.0;solute carrier family 35, member D3;SLC35D3;c0;;
231239_at;Hs.129977.0;Transcribed locus;---;c0;;
231202_at;Hs.42572.0;aldehyde dehydrogenase 1 family, member L2;ALDH1L2;c0;;
231186_at;Hs.97169.0;hypothetical LOC646113;FLJ43390;c0;;
231120_x_at;Hs.106106.1;protein kinase (cAMP-dependent, catalytic) inhibitor ;PKIB;c0;;
;;beta;;;;
231071_at;Hs.163027.0;Transcribed locus, strongly similar to XP_531135.1  ;---;c0;;
;;hypothetical protein XP_531135 [Pan troglodytes];;;;
231047_at;Hs.26579.0;Transcribed locus;---;c0;;
230692_at;Hs.103535.0;hypothetical protein LOC157503;LOC157503;c0;;
230522_s_at;Hs.245342.1;chromosome 9 open reading frame 100;C9orf100;c0;;
230362_at;Hs.52463.1;inositol polyphosphate-5-phosphatase F;INPP5F;c0;;
230331_at;Hs.47003.0;hypothetical protein LOC196541;LOC196541;c0;;
230195_at;Hs.152129.0;Hypothetical protein (ORF1), clone 00275;---;c0;;
230152_at;Hs.135209.0;WD repeat domain 52;WDR52;c0;;
230127_at;Hs.28739.0;Transcribed locus;---;c0;;
230022_at;Hs.123484.0;hypothetical protein MGC34761 /// secretory protein ;LOC348174 /// ;c0;;
;;LOC348174 /// secretory protein LOC497190;LOC497190 /// ;;;
;;;MGC34761;;;
230003_at;Hs.88156.0;Transcribed locus;---;c0;;
229953_x_at;Hs.21945.0;chromosome 6 open reading frame 152;C6orf152;c0;;
229928_at;Hs.41760.0;---;---;c0;;
229889_at;Hs.295362.1;chromosome 17 open reading frame 76;C17orf76;c0;;
229876_at;Hs.296095.0;Phosphorylase kinase, alpha 1 (muscle);PHKA1;c0;;
229788_s_at;Hs.100997.1;---;---;c0;;
229731_at;Hs.149997.0;forkhead-like 18 (Drosophila);FKHL18;c0;;D
229479_at;Hs.152812.0;Transcribed locus;---;c0;;
229197_at;Hs.127392.1;inhibitor of growth family, member 5 /// similar to ;ING5 /// ;c0;;
;;inhibitor of growth family, member 5;LOC727773;;;
229157_at;Hs.105621.0;CDNA clone IMAGE:5274141;---;c0;;
229003_x_at;Hs.38509.2;Family with sequence similarity 69, member B;FAM69B;c0;;
228990_at;Hs.40092.1;chromosome 1 open reading frame 79;C1orf79;c0;;
228964_at;Hs.289088.2;PR domain containing 1, with ZNF domain;PRDM1;c0;;
228924_s_at;Hs.184325.1;Ubiquitin-conjugating enzyme E2, J1 (UBC6 homolog, ;UBE2J1;c0;;
;;yeast);;;;
228877_at;Hs.127826.0;ral guanine nucleotide dissociation stimulator-like 3;RGL3;c0;;
228734_at;Hs.30662.0;CDNA FLJ41934 fis, clone PERIC2005111;---;c0;;
228716_at;Hs.203213.0;thyroid hormone receptor, beta (erythroblastic leukemia ;THRB;c0;;D
;;viral (v-erb-a) oncogene homolog 2, avian);;;;
228703_at;Hs.179891.0;procollagen-proline, 2-oxoglutarate 4-dioxygenase ;P4HA3;c0;;
;;(proline 4-hydroxylase), alpha polypeptide III;;;;
228295_at;Hs.180058.1;WD repeat domain 59;WDR59;c0;;
228268_at;Hs.133471.0;flavin containing monooxygenase 2 (non-functional);FMO2;c0;;
228243_at;Hs.103281.0;Transcribed locus;---;c0;;
227887_at;Hs.121589.0;hypothetical LOC400236;LOC400236;c0;;
227803_at;Hs.35198.0;ectonucleotide pyrophosphatase/phosphodiesterase 5 ;ENPP5;c0;;
;;(putative function);;;;
227317_at;Hs.279943.1;LIM and cysteine-rich domains 1;LMCD1;c0;;
227189_at;Hs.285714.0;copine V;CPNE5;c0;;
226803_at;Hs.183861.0;chromatin modifying protein 4C;CHMP4C;c0;;
226537_at;Hs.72325.0;histidine triad nucleotide binding protein 3;HINT3;c0;;
226302_at;Hs.44343.0;ATPase, Class I, type 8B, member 1;ATP8B1;c0;;
226244_at;Hs.293815.0;C-type lectin domain family 14, member A;CLEC14A;c0;;
225987_at;Hs.11177.0;STEAP family member 4;STEAP4;c0;;D
224451_x_at;g13543929;Rho GTPase activating protein 9;ARHGAP9;c0;;
224172_at;g12053092;---;---;c0;;
224014_at;g12654014;zinc finger protein 160;ZNF160;c0;;D
223939_at;g13517982;succinate receptor 1;SUCNR1;c0;;
223924_at;g12053036;tetratricopeptide repeat domain 25;TTC25;c0;;
223810_at;g8926178;kelch-like 1 (Drosophila);KLHL1;c0;;
223800_s_at;g9800508;LIM and senescent cell antigen-like domains 3;LIMS3;c0;;
223784_at;g9957753;transmembrane protein 27;TMEM27;c0;;
223761_at;g5668600;fibroblast growth factor 19;FGF19;c0;;D
223690_at;g11640569;latent transforming growth factor beta binding protein 2;LTBP2;c0;;
223501_at;Hs.270737.0;tumor necrosis factor (ligand) superfamily, member 13b;TNFSF13B;c0;;D
222947_at;Hs.181696.0;Full-length cDNA clone CS0DF033YJ19 of Fetal brain ;---;c0;;
;;of Homo sapiens (human);;;;
222919_at;Hs.23926.0;triadin;TRDN;c0;;
222903_s_at;g12659215;cytoplasmic polyadenylation element binding protein 1;CPEB1;c0;;
222511_x_at;Hs.25821.0;Fas (TNFRSF6) associated factor 1;FAF1;c0;;D
222343_at;Hs.50760.0;BCL2-like 11 (apoptosis facilitator);BCL2L11;c0;;D
222341_x_at;Hs.293697.0;Transcribed locus;---;c0;;
222307_at;Hs.293219.0;hypothetical protein LOC282997;LOC282997;c0;;
222283_at;Hs.147025.0;zinc finger protein 480;ZNF480;c0;;
222031_at;Hs.120769.0;hypothetical protein LOC286434 /// similar to Serine/;LOC286434 /// ;c0;;
;;threonine-protein kinase PRKX (Protein kinase PKX1);LOC389906;;;
221949_at;Hs.237946.0;hypothetical protein LOC222070;LOC222070;c0;;
221946_at;Hs.120858.0;chromosome 9 open reading frame 116;C9orf116;c0;;
221723_s_at;g13486616;solute carrier family 4, sodium bicarbonate cotransporter, ;SLC4A5;c0;;D
;;member 5;;;;
221195_at;g7705842;PTD016 protein;LOC51136;c0;;
221156_x_at;g4758047;cell cycle progression 1;CCPG1;c0;;
221053_s_at;g6755759;tudor and KH domain containing;TDRKH;c0;;
221043_at;g7019320;---;---;c0;;
220717_at;g13376516;ADAM metallopeptidase with thrombospondin type 1;ADAMTS20;c0;;
;;motif, 20;;;;
220716_at;g13376499;guanine nucleotide binding protein-like 3 (nucleolar)-like;FLJ12595;c0;;
;; pseudogene;;;;
220591_s_at;g13376775;EF-hand domain (C-terminal) containing 2;EFHC2;c0;;
220446_s_at;g5031734;carbohydrate (N-acetylglucosamine 6-O) ;CHST4;c0;;
;;sulfotransferase 4;;;;
220424_at;g7657614;nephrosis 2, idiopathic, steroid-resistant (podocin);NPHS2;c0;;
220372_at;g8923432;chromosome 21 open reading frame 55;C21orf55;c0;;
220265_at;g13470087;G protein-coupled receptor 107;GPR107;c0;;
220236_at;g13775157;pyruvate dehydrogenase phosphatase regulatory subunit;PDPR;c0;;
220137_at;g9506690;hypothetical protein FLJ20674;FLJ20674;c0;;
219859_at;g7657332;C-type lectin domain family 4, member E;CLEC4E;c0;;
219853_at;g13236527;fukutin related protein;FKRP;c0;;
219793_at;g11545864;sorting nexin 16;SNX16;c0;;
219750_at;g8922902;transmembrane protein 144;TMEM144;c0;;
219624_at;g6631074;BCL2-associated athanogene 4;BAG4;c0;;D
219552_at;g13374570;sushi, von Willebrand factor type A, EGF and pentraxin ;SVEP1;c0;;
;;domain containing 1;;;;
219514_at;g6912235;angiopoietin-like 2;ANGPTL2;c0;;D
218691_s_at;g5020415;PDZ and LIM domain 4;PDLIM4;c0;;
218180_s_at;g12232452;EPS8-like 2;EPS8L2;c0;;
217623_at;Hs.130465.0;Transcribed locus;---;c0;;
217508_s_at;Hs.33862.0;chromosome 18 open reading frame 25;C18orf25;c0;;
217428_s_at;Hs.179729.1;collagen, type X, alpha 1(Schmid metaphyseal ;COL10A1;c0;;D
;;chondrodysplasia);;;;
217359_s_at;Hs.167988.3;neural cell adhesion molecule 1;NCAM1;c0;;D
217132_at;Hs.137173.0;Clone 24587 mRNA sequence;---;c0;;
216468_s_at;Hs.306298.0;zinc finger protein 682;ZNF682;c0;;
216368_s_at;Hs.530.1;collagen, type IV, alpha 3 (Goodpasture antigen);COL4A3;c0;;D
216307_at;Hs.158318.0;diacylglycerol kinase, beta 90kDa;DGKB;c0;;
216069_at;Hs.212587.0;CDNA FLJ31388 fis, clone NT2NE1000023;---;c0;;
215891_s_at;Hs.289082.1;GM2 ganglioside activator;GM2A;c0;;
215882_at;Hs.288571.0;Centrosomal protein 152kDa;CEP152;c0;;
215781_s_at;Hs.248010.0;topoisomerase (DNA) III beta;TOP3B;c0;;
215775_at;Hs.247954.0;Thrombospondin 1;THBS1;c0;;D
215746_at;Hs.94799.0;(clone B3B3E13) chromosome 4p16.3 DNA fragment;---;c0;;
215719_x_at;Hs.82359.2;Fas (TNF receptor superfamily, member 6);FAS;c0;;D
215641_at;Hs.306401.0;SEC24 related gene family, member D (S. cerevisiae);SEC24D;c0;;
215526_at;Hs.225986.0;"MRNA; cDNA DKFZp586C2020 (from clone ";---;c0;;
;;DKFZp586C2020);;;;
215491_at;Hs.169252.0;v-myc myelocytomatosis viral oncogene homolog 1, ;MYCL1;c0;;
;;lung carcinoma derived (avian);;;;
215466_at;Hs.134526.0;Clone 23651 mRNA sequence;---;c0;;
215423_at;Hs.7057.0;Cri-du-chat region mRNA, clone NIBB11;---;c0;;
215421_at;Hs.66163.0;Clone 23636 mRNA sequence;---;c0;;
215397_x_at;Hs.302691.0;CDNA FLJ12379 fis, clone MAMMA1002554;---;c0;;
215351_at;Hs.274518.0;RNA terminal phosphate cyclase domain 1;RTCD1;c0;;D
215331_at;Hs.225968.0;myosin, heavy chain 15;MYH15;c0;;
215259_s_at;Hs.129064.1;cell adhesion molecule 4;CADM4;c0;;
215233_at;Hs.72660.1;jumonji domain containing 6;JMJD6;c0;;D
215190_at;Hs.274553.0;PCI domain containing 1 (herpesvirus entry mediator);PCID1;c0;;
215025_at;Hs.26776.1;neurotrophic tyrosine kinase, receptor, type 3;NTRK3;c0;;D
215014_at;Hs.232127.0;"MRNA; cDNA DKFZp547P042 (from clone ";---;c0;;
;;DKFZp547P042);;;;
214981_at;Hs.306593.0;CDNA FLJ11382 fis, clone HEMBA1000504;---;c0;;
214978_s_at;Hs.300704.0;protein tyrosine phosphatase, receptor type, f ;PPFIA4;c0;;
;;polypeptide (PTPRF), interacting protein (liprin), ;;;;
;;alpha 4;;;;
214956_at;Hs.177837.0;AP2 associated kinase 1;AAK1;c0;;
214917_at;Hs.288546.0;protein kinase, AMP-activated, alpha 1 catalytic subunit;PRKAA1;c0;;D
214871_x_at;Hs.233354.0;CDNA clone IMAGE:3347954;---;c0;;
214858_at;Hs.133342.0;Pp14571;---;c0;;
214587_at;Hs.114599.0;collagen, type VIII, alpha 1;COL8A1;c0;;D
214447_at;Hs.248109.0;v-ets erythroblastosis virus E26 oncogene homolog 1 ;ETS1;c0;;D
;;(avian);;;;
214389_at;Hs.148907.0;"MRNA; cDNA DKFZp564G223 (from clone ";---;c0;;
;;DKFZp564G223);;;;
214313_s_at;Hs.158688.1;Eukaryotic translation initiation factor 5B;EIF5B;c0;;
214300_s_at;Hs.91175.1;topoisomerase (DNA) III alpha;TOP3A;c0;;
